date,股票代码,open,close,high,low,volume,amount,amplitude,change_percent,change_amount,turnover,MA5,MA10,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower
2024-04-30,000001,1544.32,1543.07,1554.32,1535.57,1324557,1431407709.37,1.21,-0.16,-2.5,0.68,1527.8139999999999,1525.4379999999999,1507.6235,1483.911,65.45322346097916,11.707634407891646,8.476250329999978,3.2313840778916685,1507.6235,1558.2858025117298,1456.96119748827
2024-05-06,000001,1564.32,1555.57,1583.07,1549.32,1784101,1953817493.43,2.19,0.81,12.5,0.92,1536.816,1528.8139999999999,1509.1865,1486.5573333333334,68.60265054638457,13.67055876419522,9.515112016839026,4.155446747356194,1509.1865,1563.7917734199157,1454.5812265800844
2024-05-07,000001,1553.07,1554.32,1555.57,1539.32,1087057,1176786412.82,1.04,-0.08,-1.25,0.56,1543.568,1529.8139999999999,1511.2495,1489.0161666666668,76.62303936844292,14.95295751897197,10.602681117265616,4.350276401706354,1511.2495,1569.4689666214385,1453.0300333785613
2024-05-08,000001,1549.32,1535.57,1554.32,1533.06,1221791,1318611999.65,1.37,-1.21,-18.75,0.63,1546.82,1530.315,1512.9374999999998,1491.5791666666667,65.06875582096094,14.291555318082146,11.340455957428924,2.951099360653222,1512.9374999999998,1571.9567663904231,1453.9182336095764
2024-05-09,000001,1533.06,1539.32,1546.82,1533.06,1069461,1150726857.51,0.9,0.24,3.75,0.55,1545.5700000000002,1533.566,1515.0004999999999,1494.288,66.21628925039184,13.90964128242149,11.854293022427438,2.0553482599940516,1515.0004999999999,1574.7105493966296,1455.2904506033701
2024-05-10,000001,1540.57,1561.82,1564.32,1539.32,1767836,1923452176.84,1.62,1.46,22.5,0.91,1549.3200000000002,1538.567,1518.3759999999997,1497.4759999999999,62.12203841725747,15.24677824841433,12.532790067624816,2.7139881807895136,1518.3759999999997,1580.7352584271136,1456.0167415728858
2024-05-13,000001,1556.82,1565.57,1570.57,1545.57,1402499,1530058919.54,1.6,0.24,3.75,0.72,1551.32,1544.068,1522.6889999999999,1501.0183333333332,57.263963902372325,16.419785520934056,13.310189158286665,3.109596362647391,1522.6889999999999,1585.6013001612528,1459.776699838747
2024-05-14,000001,1569.32,1558.07,1576.82,1554.32,1075784,1176577328.23,1.44,-0.48,-7.5,0.55,1552.07,1547.819,1526.8145,1504.2063333333333,59.82429826440968,16.553397651587147,13.958830856946761,2.594566794640386,1526.8145,1587.4958518480423,1466.1331481519576
2024-05-15,000001,1556.82,1548.07,1559.32,1545.57,868297,942907950.5,0.88,-0.64,-10.0,0.45,1554.5700000000002,1550.695,1531.6280000000002,1506.6026666666664,66.33929985743703,15.671716014331423,14.301407888423695,1.3703081259077283,1531.6280000000002,1581.5791363761011,1481.6768636238992
2024-05-16,000001,1550.57,1590.57,1595.58,1548.07,3076292,3410151917.15,3.07,2.75,42.5,1.59,1564.8200000000002,1555.195,1537.1285,1509.8531666666668,74.04738641914997,18.192658138825436,15.079657938504045,3.113000200321391,1537.1285,1587.6268790360034,1486.6301209639967
2024-05-17,000001,1591.82,1621.83,1621.83,1585.57,2841749,3200736554.36,2.28,1.97,31.26,1.46,1576.822,1563.071,1544.2544999999998,1513.4996666666666,78.71187490323578,22.454106719111905,16.55454769462562,5.899559024486287,1544.2544999999998,1600.3158902131609,1488.1931097868387
2024-05-20,000001,1623.08,1616.83,1635.58,1608.08,2170210,2475290152.11,1.7,-0.31,-5.0,1.12,1587.074,1569.197,1549.0055,1516.771,75.49928484399004,25.138100829374707,18.271258321575438,6.866842507799269,1549.0055,1612.6503783981598,1485.3606216018402
2024-05-21,000001,1609.33,1638.08,1646.83,1608.08,2030049,2336192874.97,2.4,1.31,21.25,1.05,1603.076,1577.5729999999999,1553.6934999999999,1520.3756666666666,78.44517890501508,28.649627829388464,20.346932223138044,8.30269560625042,1553.6934999999999,1628.6860622347115,1478.7009377652882
2024-05-22,000001,1639.33,1639.33,1661.84,1626.83,2115531,2458448969.66,2.14,0.08,1.25,1.09,1621.328,1587.9489999999998,1559.132,1521.9591666666665,75.51153678711363,31.174047811400442,22.512355340790524,8.661692470609918,1559.132,1642.3822334689362,1475.881766531064
2024-05-23,000001,1635.58,1619.33,1643.08,1615.58,1841623,2110799281.76,1.68,-1.22,-20.0,0.95,1627.08,1595.9499999999998,1564.758,1523.001,68.94564245254894,31.201168335069042,24.250117939646227,6.951050395422815,1564.758,1648.3277332770713,1481.1882667229288
2024-05-24,000001,1615.58,1608.08,1630.58,1606.83,1398276,1593330336.42,1.47,-0.69,-11.25,0.72,1624.33,1600.5759999999998,1569.5715,1523.9595,63.126843657817105,29.969411841247393,25.393976719966464,4.575435121280929,1569.5715,1651.3715590078336,1487.7714409921664
2024-05-27,000001,1608.08,1633.08,1635.58,1608.08,1454361,1663272117.57,1.71,1.55,25.0,0.75,1627.58,1607.3269999999998,1575.6974999999998,1526.0014999999999,67.59921344297462,30.657130692626424,26.446607514498456,4.210523178127968,1575.6974999999998,1657.2403215240686,1494.154678475931
2024-05-28,000001,1631.83,1619.33,1641.83,1614.33,1204323,1377107203.91,1.68,-0.84,-13.75,0.62,1623.83,1613.453,1580.636,1527.8768333333333,69.14426769061986,29.749706650913367,27.107227341781442,2.642479309131925,1580.636,1660.054579663643,1501.217420336357
2024-05-29,000001,1616.83,1601.83,1625.58,1598.08,1444811,1635445613.13,1.7,-1.08,-17.5,0.74,1616.33,1618.829,1584.762,1529.4813333333334,63.4424325835448,27.30372249685456,27.146526372796068,0.15719612405849404,1584.762,1659.182648125163,1510.3413518748368
2024-05-30,000001,1599.33,1584.32,1611.83,1576.82,1325496,1481608711.02,2.19,-1.09,-17.51,0.68,1609.328,1618.2040000000002,1586.6995,1530.5856666666666,54.944620253164565,23.679390495846974,26.45309919740625,-2.7737087015592756,1586.6995,1658.8056505442962,1514.5933494557037
2024-05-31,000001,1586.82,1583.07,1593.08,1583.07,826707,921248145.59,0.63,-0.08,-1.25,0.43,1604.3259999999998,1614.328,1588.6995,1531.8775,53.88854324060083,20.4702484381246,25.25652904554992,-4.786280607425322,1588.6995,1657.8694668551154,1519.5295331448845
